Data Point, Corr Factor, Length Scale, AmbPress, AmbTemp, Density, Viscosity, Motor Speed, Angle of Attack, Corrected q, Avg Velocity, Reynolds number, Axial Force,Normal Force, Pitching Mom
1,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,-5.03990756,0.048597568,79.21237946,50626.52344,0.020886461,-0.215640707,-0.733363909
2,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,-3.973586212,0.04792807,78.66485596,50276.58594,0.025524323,-0.207493569,-0.700969665
3,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,-2.911877607,0.047676632,78.45823669,50144.53125,0.032434684,-0.198329577,-0.654238555
4,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,-2.020799523,0.048042656,78.75883484,50336.65234,0.040751331,-0.190432812,-0.616056915
5,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,-1.040700972,0.046934755,77.84542084,49752.86719,0.048282513,-0.181936224,-0.57543566
6,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,-0.089329707,0.047754873,78.52259064,50185.66406,0.055016312,-0.171935712,-0.537202492
7,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,1.053770599,0.047855296,78.60511017,50238.40234,0.063224679,-0.162774384,-0.492913333
8,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,2.022569296,0.046628623,77.59113312,49590.34766,0.069964503,-0.153465092,-0.45160875
9,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,3.007376119,0.046954939,77.8621521,49763.5625,0.078506447,-0.144419833,-0.412653814
10,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,4.006389642,0.047420168,78.24693298,50009.48438,0.086547335,-0.134202883,-0.36562857
11,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,953,4.96439343,0.04612679,77.17247009,49322.76953,0.091467654,-0.128593952,-0.341484628
12,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,6.061229842,0.046942448,77.85179901,49756.94531,0.098472286,-0.116865808,-0.294045696
13,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,7.07365853,0.047552597,78.35611725,50079.26563,0.108004136,-0.108934271,-0.252673991
14,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,8.040874155,0.047177572,78.04652405,49881.39844,0.114228988,-0.098801282,-0.216084747
15,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,9.057710878,0.046711778,77.66028595,49634.54297,0.122399562,-0.089327122,-0.174397009
16,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,10.00915038,0.046261407,77.28499603,49394.6875,0.129852783,-0.078506986,-0.118198017
17,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,11.05845371,0.047211544,78.07462311,49899.35547,0.136656327,-0.072084972,-0.088918495
18,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,11.96567639,0.047580521,78.37911987,50093.96875,0.145642824,-0.065357283,-0.053307508
19,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,13.06810814,0.048554217,79.1770401,50603.9375,0.157220971,-0.052718204,0.001924441
20,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,14.02522486,0.047397116,78.2279129,49997.32813,0.161830674,-0.047753785,0.029985285
21,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,961,15.04389031,0.047408189,78.23704529,50003.16406,0.172279455,-0.039605674,0.059208114
22,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,970,15.96484204,0.047466942,78.28551483,50034.14063,0.178762541,-0.029785594,0.09974209
23,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,970,16.97343587,0.046610875,77.57636261,49580.90625,0.185132691,-0.023769723,0.113924342
24,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,978,18.08843666,0.046991958,77.89284515,49783.17578,0.193239623,-0.009065139,0.165300257
25,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,983,19.00671355,0.046852754,77.7773819,49709.38281,0.201333056,-0.000299922,0.203832143
26,0.94,1.3125,14.1696775,533.07,0.002230596,3.8173E-07,983,20.01682222,0.046637887,77.59883881,49595.26953,0.209921148,0.007818404,0.240760742
